movie_id,user_id,rating
12789558,2929860,6
11214590,2929860,7
6920084,2929860,8
4513678,2929860,8
12536294,2929860,3
2397461,2929860,7
9032400,2929860,8
7991608,2929860,8
8847712,2929860,4
9274670,2929860,6
7740510,2929860,7
9639470,2929860,8
7504818,2929860,7
10696784,2929860,6
1160419,2929860,7
4244994,2929860,7
10665338,2929860,7
11650226,2929860,5
2382320,2929860,8
8110232,2929860,6
11125620,2929860,7
7097896,2929860,8
11196036,2929860,6
11266868,2929860,3
9115530,2929860,6
9357050,2929860,6
10572658,2929860,2
1924245,2929860,6
5748448,2929860,8
9789042,2929860,7
9168164,2929860,3
3811906,2929860,8
11433048,2929860,5
9376612,2929860,8
11505680,2929860,6
14640242,2929860,5
9347730,2929860,7
3272066,2929860,6
9731534,2929860,5
6079772,2929860,8
6246322,2929860,8
9804272,2929860,3
6264654,2929860,8
6334354,2929860,8
10696896,2929860,6
0870154,2929860,8
9243804,2929860,7
10954652,2929860,8
8404256,2929860,7
3554046,2929860,7
11003218,2929860,7
9844522,2929860,7
6932874,2929860,7
3480822,2929860,8
10327252,2929860,7
1321510,2929860,7
5433138,2929860,8
11799110,2929860,4
8610436,2929860,7
8615822,2929860,3
8385148,2929860,8
8338076,2929860,6
8376234,2929860,7
11084896,2929860,7
7069210,2929860,7
7826276,2929860,5
14277840,2929860,6
3228774,2929860,8
8332922,2929860,8
12789212,2929860,7
10344522,2929860,7
3215824,2929860,6
0993840,2929860,8
10342730,2929860,7
10944596,2929860,6
7397098,2929860,4
11083552,2929860,8
9645476,2929860,4
9173154,2929860,5
11285280,2929860,5
0293429,2929860,8
13429362,2929860,3
9202550,2929860,7
5198068,2929860,7
2231874,2929860,6
10279362,2929860,5
10713340,2929860,7
9664108,2929860,6
12064810,2929860,5
9419056,2929860,6
5034838,2929860,8
5363618,2929860,7
7888964,2929860,9
9849004,2929860,8
8368512,2929860,7
10272386,2929860,7
11762434,2929860,4
5109280,2929860,8
2076822,2929860,8
9110170,2929860,8
7991608,49848930,5
9032400,49848930,7
1160419,49848930,7
7097896,49848930,5
10919420,49848930,9
9243804,49848930,4
10168312,49848930,7
9421570,49848930,8
2382320,49848930,8
11846996,49848930,8
10888878,49848930,6
8368408,49848930,6
9347730,49848930,5
9376612,49848930,8
10230994,49848930,3
6264654,49848930,8
12708542,49848930,7
6334354,49848930,9
3554046,49848930,3
9789660,49848930,7
10954652,49848930,6
10228134,49848930,4
10826054,49848930,3
9844522,49848930,5
5886046,49848930,3
9140554,49848930,9
3480822,49848930,8
8385148,49848930,5
7888964,49848930,8
5433138,49848930,4
6475714,49848930,5
13138834,49848930,7
8332922,49848930,8
6644200,49848930,8
5774002,49848930,5
5109280,49848930,7
0890870,49848930,2
3228774,49848930,6
0993840,49848930,4
8425532,49848930,7
0499097,49848930,3
0489270,49848930,3
0293429,49848930,5
0119707,49848930,1
0361243,49848930,9
2303687,49848930,8
10962368,49848930,3
9208876,49848930,8
0432348,49848930,4
14318430,49848930,4
2222042,49848930,7
5363618,49848930,9
0387564,49848930,6
13234384,49848930,1
10121392,49848930,3
4761112,49848930,8
14223858,49848930,5
10633456,49848930,8
10065694,49848930,4
10893694,49848930,2
8633478,49848930,7
5034838,49848930,7
6156584,49848930,5
12108622,49848930,4
5114840,49848930,2
9207700,49848930,6
7569576,49848930,7
7897330,49848930,1
8690776,49848930,6
9784798,49848930,8
4479380,49848930,3
12361974,49848930,9
0113855,49848930,5
11285548,49848930,5
7435316,49848930,4
11734264,49848930,3
6432466,49848930,6
7440726,49848930,8
6802400,49848930,3
9140560,49848930,9
0094898,49848930,8
6199572,49848930,1
8114980,49848930,4
9893250,49848930,6
9184982,49848930,8
7598106,49848930,6
9698442,49848930,7
13837672,49848930,5
8332438,49848930,5
6878306,49848930,5
7737786,49848930,7
12676326,49848930,7
9140342,49848930,9
3661210,49848930,6
8425404,49848930,7
6317656,49848930,7
