movie_id,genre
tt0348568,"Drama, Romance"
tt13198632,"Animation, Comedy, Drama"
tt0037674,"Drama, Romance"
tt2369396,"Action, Comedy, Sci-Fi"
tt0805559,"Comedy, Drama, Family"
tt0324864,"Drama, Fantasy, Horror"
tt0084133,"Horror, Thriller"
tt2212008,"Action, Crime, Drama"
tt11684368,"Drama, Thriller"
tt3012160,"Comedy, Drama"
tt0130121,"Comedy, Crime, Romance"
tt1792131,"Family, Fantasy"
tt0029747,"Comedy, Family, Western"
tt0110027,"Action, Fantasy, Romance"
tt3236120,"Comedy, Drama, Romance"
tt7181546,"Action, Thriller"
tt0308379,"Drama, Horror, Mystery"
tt5628418,"Adventure, Family, Fantasy"
tt1985017,"Drama, Mystery, Sci-Fi"
tt5612742,"Comedy, Drama"
tt0463345,Drama
tt0995829,"Drama, Romance"
tt0150661,Comedy
tt11554008,Thriller
tt0061770,Western
tt0108185,"Drama, Mystery, Romance"
tt0086764,"Animation, Adventure, Comedy"
tt0023293,"Comedy, Horror, Thriller"
tt8497680,"Comedy, Drama, Mystery"
tt0086449,"Horror, Mystery, Thriller"
tt1130988,"Action, Comedy, Crime"
tt0077125,"Comedy, Crime"
tt0107979,"Action, Sci-Fi"
tt7714138,"Drama, Romance"
tt0037522,"Drama, War"
tt0897387,"Animation, Short, Adventure"
tt14807078,Romance
tt9471828,Drama
tt8914492,"Drama, Mystery, Thriller"
tt2957760,"Action, Adventure, Crime"
tt0113483,"Adventure, Biography, Drama"
tt9168816,Music
tt2150332,"Biography, Drama, History"
tt5770864,"Drama, Fantasy, Sci-Fi"
tt7532470,"Short, Comedy"
tt0469021,"Action, Comedy, Crime"
tt0044456,Western
tt0105636,"Action, Thriller"
tt2571774,Documentary
tt6140580,"Comedy, Romance"
tt0031448,"Horror, Mystery, Thriller"
tt11766306,Drama
tt10328494,"Animation, Sci-Fi"
tt0065780,"Documentary, Music, Thriller"
tt10788058,War
tt0048729,"Action, Biography, Drama"
tt3148348,"Horror, Thriller"
tt13989310,Thriller
tt0097594,"Mystery, Drama"
tt0081925,Comedy
tt15430012,"Documentary, Crime"
tt4742700,"Crime, Drama, History"
tt9854774,Reality-TV
tt9357248,"Animation, Short, Adventure"
tt1836195,"Action, Adventure, Drama"
tt9896916,"Animation, Adventure, Family"
tt0115195,"Adventure, Drama, Family"
tt1305562,"Comedy, Horror, Mystery"
tt13562940,"Action, Thriller"
tt0066450,"Crime, Drama, Mystery"
tt1189346,"Action, Adventure, Comedy"
tt0102181,"Drama, Mystery, Sci-Fi"
tt8510196,"Crime, Horror, Thriller"
tt2140629,"Comedy, Thriller"
tt0301454,"Action, Comedy, Crime"
tt0082000,"Horror, Sci-Fi"
tt5539052,"Biography, Comedy, Drama"
tt0100031,"Drama, Horror, Thriller"
tt15209944,"Comedy, Drama, Romance"
tt1127881,Drama
tt11947158,"Action, Thriller"
tt4286666,"Comedy, Romance"
tt0111964,"Action, Adventure, Drama"
tt0162983,"Comedy, Drama"
tt6418778,"Drama, Sci-Fi, Thriller"
tt4613254,"Drama, Romance"
tt8132778,"Drama, Fantasy"
tt11976532,"Horror, Mystery, Thriller"
tt0441782,"Drama, Thriller"
tt0092532,"Adventure, Comedy, Sci-Fi"
tt0063090,"Horror, Sci-Fi"
tt0448075,"Crime, Drama, Horror"
tt0075807,"Adventure, Comedy, Drama"
tt0220832,"Action, Crime, Drama"
tt8652584,"Adventure, Biography, Western"
tt0991178,"Action, Drama, Sci-Fi"
tt4768764,"Action, Comedy, Crime"
tt10595038,Thriller
tt6156138,Drama
tt1242441,"Comedy, Drama"
tt11923304,"Action, Drama, Sci-Fi"
tt0068408,"Action, Sci-Fi"
tt7439748,"Comedy, Romance"
tt15466144,Comedy
tt0093935,"Family, Drama"
tt9812258,Sci-Fi
tt1652218,"Comedy, Crime, Drama"
tt0291082,"Animation, Family, Fantasy"
tt10498322,Adventure
tt2112281,"Animation, Short, Action"
tt0219952,"Comedy, Crime"
tt3544014,"Drama, Romance"
tt9765226,Comedy
tt7959216,"Drama, Thriller"
tt7686376,"Comedy, Drama, Romance"
tt3469916,Comedy
tt11685912,"Drama, Mystery, Western"
tt0867005,"Comedy, Romance"
tt3449292,"Biography, Drama"
tt2171665,"Drama, Family, Music"
tt0082894,"Drama, Musical, Romance"
tt0113725,Drama
tt6886080,Drama
