movie_id,genre
tt1856101,"Action, Drama, Sci-Fi"
tt8241000,"Animation, Adventure, Comedy"
tt6751668,"Comedy, Drama, Thriller"
tt8962124,"Comedy, Drama, Romance"
tt1439629,Comedy
tt0095016,"Action, Thriller"
tt10834220,"Crime, Drama, Mystery"
tt7131622,"Comedy, Drama"
tt8760932,"Drama, Mystery, Thriller"
tt1043813,"Action, Adventure, Crime"
tt4655480,Drama
tt10155688,"Crime, Drama, Mystery"
tt14641648,"Comedy, Crime, Mystery"
tt5537002,"Crime, Drama, History"
tt0120737,"Action, Adventure, Drama"
tt3811906,"Crime, Horror, Mystery"
tt1872181,"Action, Adventure, Fantasy"
tt10732104,"Crime, Drama"
tt9811316,"Animation, Action, Adventure"
tt13668894,"Action, Adventure, Sci-Fi"
tt0413300,"Action, Adventure, Sci-Fi"
tt9620292,"Crime, Drama, Mystery"
tt0491738,"Comedy, Crime, Mystery"
tt13406094,"Comedy, Drama"
tt9817298,Reality-TV
tt6723592,"Action, Sci-Fi, Thriller"
tt4016454,"Action, Adventure, Drama"
tt5433138,"Action, Crime, Thriller"
tt9140560,"Action, Comedy, Drama"
tt10148174,"Drama, Horror, Sci-Fi"
tt10687506,"Biography, Drama, History"
tt0247082,"Crime, Drama, Mystery"
tt1378167,"Action, Crime, Drama"
tt0086066,"Crime, Drama"
tt3322312,"Action, Crime, Drama"
tt10048342,Drama
tt7366338,"Drama, History, Thriller"
tt10231312,"Animation, Comedy, Fantasy"
tt13103340,Comedy
tt2661044,"Drama, Mystery, Sci-Fi"
tt0111070,"Comedy, Drama, Family"
tt7491982,"Action, Crime, Drama"
tt0361748,"Adventure, Drama, War"
tt7975244,"Action, Adventure, Comedy"
tt0316654,"Action, Adventure, Sci-Fi"
tt8110232,"Crime, Drama"
tt0468569,"Action, Crime, Drama"
tt0098844,"Crime, Drama, Mystery"
tt0294870,"Drama, Musical, Romance"
tt0993846,"Biography, Comedy, Crime"
tt7286456,"Crime, Drama, Thriller"
tt7144666,Horror
tt0170016,"Comedy, Family, Fantasy"
tt0369179,"Comedy, Romance"
tt1386697,"Action, Adventure, Fantasy"
tt13069986,"Drama, Romance"
tt5753856,"Crime, Drama, Mystery"
tt6111130,"Action, Adventure, Crime"
tt2934286,"Action, Adventure, Sci-Fi"
tt7942796,"Action, Adventure, Crime"
tt9335498,"Animation, Action, Adventure"
tt1475582,"Crime, Drama, Mystery"
tt1266020,Comedy
tt0185906,"Drama, History, War"
tt3281548,"Drama, Romance"
tt8518136,"Biography, Comedy, Drama"
tt0159206,"Comedy, Drama, Romance"
tt0414387,"Drama, Romance"
tt1561755,"Animation, Comedy"
tt0275277,"Animation, Action, Crime"
tt0804503,Drama
tt8106534,"Action, Thriller"
tt7888964,"Action, Crime, Drama"
tt1983079,"Drama, History"
tt8772262,"Drama, Horror, Mystery"
tt8740790,"Drama, Romance"
tt0110912,"Crime, Drama"
tt1532495,"Crime, Drama"
tt4154756,"Action, Adventure, Sci-Fi"
tt10665338,"Horror, Thriller"
tt12361974,"Action, Adventure, Fantasy"
tt0758745,"Drama, Sport"
tt5606664,"Drama, Fantasy, Horror"
tt12861212,"Drama, Horror, Thriller"
tt6128300,Drama
tt11242246,"Action, Crime, Drama"
tt0118276,"Action, Drama, Fantasy"
tt1375666,"Action, Adventure, Sci-Fi"
tt6831266,Drama
tt4687880,Drama
tt7740510,"Drama, Horror, Mystery"
tt1074638,"Action, Adventure, Thriller"
tt0072562,"Comedy, Music"
tt8579674,"Action, Drama, War"
tt15565510,Romance
tt0172495,"Action, Adventure, Drama"
tt0085334,"Comedy, Family"
tt10739666,"Action, Crime, Drama"
tt1201607,"Adventure, Fantasy, Mystery"
tt7053188,"Action, Drama, Romance"
tt1431045,"Action, Adventure, Comedy"
tt11083552,"Action, Crime, Thriller"
