movie_id,genre
0331811,"Comedy, Crime, Drama"
0266465,"Action, Crime, Drama"
15767324,Thriller
0117107,"Crime, Drama, Mystery"
9145372,Drama
0870122,"Comedy, Drama"
11090458,"Comedy, Crime, Drama"
0072973,"Crime, Mystery, Thriller"
0346631,"Action, Crime, Drama"
2349144,"Comedy, Drama"
0092494,"Comedy, Family, Fantasy"
2017038,"Action, Adventure, Drama"
0085809,"Documentary, Music"
7242142,"Comedy, Crime, Drama"
0111477,"Adventure, Comedy, Crime"
0081529,"Action, Adventure, Comedy"
7869070,"Crime, Thriller"
0410097,"Crime, Drama, Music"
0120004,"Horror, Mystery, Sci-Fi"
14153080,Drama
6928052,"Action, Adventure, Comedy"
0220627,Drama
0102250,"Comedy, Drama, Fantasy"
0424993,"Comedy, Romance"
0412080,"Biography, Drama, Sport"
5324116,"Comedy, Crime"
1564585,"Action, Sci-Fi, Thriller"
0377253,"Crime, Drama, Mystery"
14163772,"Comedy, Drama"
11306366,Drama
0081698,Comedy
3444938,"Comedy, Music, Talk-Show"
0411951,"Action, Crime, Drama"
6160506,"Action, Drama, Sci-Fi"
2567712,"Crime, Drama"
0457495,"Action, Adventure, Family"
0082220,"Crime, Drama, Mystery"
7453996,"Documentary, Comedy"
2825240,"Action, Horror"
4688366,"Crime, Drama, Mystery"
5696848,"Comedy, Crime, Drama"
7645122,"Comedy, Drama, Romance"
0056777,"Fantasy, Horror, Sci-Fi"
0118998,"Comedy, Family, Fantasy"
13851958,"Animation, Action, Adventure"
0086397,"Comedy, Crime, Drama"
11658120,"Action, Adventure, Crime"
0118298,"Animation, Comedy, Drama"
0023427,"Action, Crime, Drama"
8535968,Drama
5721172,"Family, Fantasy"
12064810,"Action, Thriller"
0857191,Drama
0085271,"Sci-Fi, Thriller"
0272397,Comedy
1172991,Drama
0481141,"Comedy, Drama, Romance"
3205376,"Action, Adventure, Drama"
2960930,"Action, Horror, Mystery"
1449940,Drama
0094008,"Crime, Drama, Romance"
2758950,"Drama, Horror, Mystery"
0091777,Comedy
10777610,"Animation, Comedy, Fantasy"
0087089,"Crime, Drama, Music"
0100258,Horror
4192998,"Drama, Thriller"
1500491,"Action, Crime, Sci-Fi"
3456802,"Crime, Mystery, Thriller"
2176165,"Animation, Drama, Horror"
4295140,Documentary
2178470,"Drama, Musical, Romance"
7133686,"Animation, Action, Adventure"
2732442,"Action, Adventure, Sci-Fi"
8310924,"Comedy, Romance"
1181541,"Crime, Drama, Fantasy"
0106307,"Comedy, Drama, Fantasy"
0070337,"Adventure, Drama, Fantasy"
0071129,"Comedy, Drama"
10923090,"Short, Comedy"
1591493,"Action, Comedy, Drama"
7054636,"Comedy, Drama"
12719250,"Comedy, Drama, Romance"
7430722,"Action, Adventure, Thriller"
10795574,"Drama, Romance"
0130236,"Action, Crime, Thriller"
0231402,"Action, Adventure, Comedy"
12908110,Horror
0080736,"Action, Adventure, Sci-Fi"
0051418,"Horror, Sci-Fi"
0090567,"Crime, Drama, Thriller"
3068194,"Comedy, Drama, Romance"
0101178,"Animation, Adventure, Comedy"
5433114,"Documentary, Biography, Sport"
0052225,"Musical, Romance, War"
4421578,Drama
0056264,"Adventure, Drama, History"
0092796,"Fantasy, Horror"
0119310,"Action, Adventure, Comedy"
15484900,"Documentary, Crime, History"
0117958,"Comedy, Drama"
0176666,"Crime, Drama"
14454876,"Biography, Drama, War"
9815998,"Comedy, Drama"
6527426,"Comedy, Drama, Romance"
7914416,"Comedy, Drama, Horror"
4855114,"Crime, Drama, Mystery"
3340712,"Crime, Drama"
0284490,"Action, Comedy, Crime"
0087428,"Comedy, Drama"
14527836,"Drama, Mystery, Thriller"
15132028,Drama
10172268,"Action, Adventure, Fantasy"
1103982,Drama
0100107,"Crime, Horror, Action"
7646322,"Horror, Thriller"
0118708,"Action, Comedy"
7932896,Drama
13623992,"Documentary, Adventure"
0096251,"Fantasy, Horror, Sci-Fi"
0037913,"Crime, Drama, Film-Noir"
7385392,Romance
2657262,"Drama, Romance, Sci-Fi"
0076363,"Animation, Adventure, Comedy"
12844722,"Comedy, Drama"
6060992,"Drama, Thriller"
11151336,"Crime, Drama, Horror"
10244600,"Drama, Sport"
13524842,"Comedy, Drama, Romance"
0106097,Drama
1340773,"Comedy, Drama"
4795124,"Comedy, Drama"
0102005,"Action, Crime, Drama"
0493949,"Comedy, Drama, Family"
0382310,"Crime, Drama, Mystery"
9460858,"Action, Adventure, Drama"
2488778,"Drama, Western"
4291050,"Animation, Family"
0972544,"Crime, Drama, Thriller"
1782352,Drama
15772310,Reality-TV
0108339,"Horror, Sci-Fi"
0104418,"Adventure, Comedy, Fantasy"
9118930,"Crime, Drama, Mystery"
0432291,"Horror, Mystery"
2100546,"Animation, Short, Adventure"
1859650,"Comedy, Music, Romance"
1166100,"Action, Drama, Mystery"
0433387,"Action, Crime, Drama"
0119809,"Comedy, Drama, Sci-Fi"
11937680,Documentary
4645330,"Biography, Drama"
0078875,"Drama, War"
0115231,"Comedy, Family"
0347304,"Comedy, Drama, Musical"
1178665,"Adventure, Biography, Comedy"
11245776,Documentary
0110657,"Action, Drama, Family"
1688612,"Drama, Romance"
0117247,"Comedy, Drama, Romance"
0086312,"Biography, Drama, History"
4587740,"Comedy, Music, Romance"
0137338,"Comedy, Drama, Romance"
0477139,"Comedy, Drama, Fantasy"
0105128,"Fantasy, Horror"
1205535,"Comedy, Romance"
0473444,"Action, Drama, History"
12673630,Documentary
0068361,Comedy
0891527,"Crime, Drama, Mystery"
13044528,"Action, Adventure, Drama"
2140037,"Action, Drama, Western"
2467046,"Action, Fantasy, Sci-Fi"
0098253,"Drama, Horror, Thriller"
8878862,"Crime, Drama, Fantasy"
1522846,Horror
2828996,"Comedy, Fantasy, Horror"
9898858,"Action, Comedy, Crime"
2271563,"Action, Drama, Western"
1764429,"Action, Crime, Drama"
0323944,"Drama, History"
0427543,Drama
8488126,Documentary
6282412,"Short, Comedy"
6193454,"Drama, Fantasy, Mystery"
2569466,"Documentary, Crime"
3153634,Drama
8456190,Animation
2006848,"Comedy, Drama, Family"
0054033,"Comedy, Horror"
0057731,"Drama, Romance"
0112112,"Action, Crime, Drama"
0051267,"Comedy, Family"
0120512,"Action, Adventure, Comedy"
0169102,"Drama, Musical, Sport"
3009772,"Comedy, Romance"
0105488,"Comedy, Drama, Music"
0040506,"Action, Crime, Drama"
5327970,Reality-TV
10493490,"Drama, Family"
1626038,"Animation, Action, Adventure"
14482374,"Comedy, Drama, Family"
13176816,"Crime, Drama, Mystery"
0089346,"Action, Comedy, Crime"
2061702,"Animation, Drama, Fantasy"
9310280,"Action, Crime, Drama"
0099703,"Crime, Drama, Thriller"
2300975,"Drama, Horror, Mystery"
1212419,"Drama, Fantasy, Romance"
0096548,"Comedy, War"
12399056,"Horror, Thriller"
4694544,"Action, Comedy"
0101698,"Comedy, Drama, Fantasy"
0290095,"Action, Comedy, Sci-Fi"
1183865,"Action, Drama, Sci-Fi"
0983213,"Animation, Drama, Family"
3966404,Drama
0267536,"Animation, Comedy, Family"
1800741,"Drama, Music, Romance"
12305696,"Action, Thriller"
0057950,"Family, Fantasy, Musical"
2089750,"Comedy, Family"
0103905,"Comedy, Crime, Drama"
0060153,"Action, Adventure, Comedy"
6958014,"Comedy, Drama, Romance"
0207919,"Fantasy, Mystery, Adventure"
3431758,"Animation, Adventure, Comedy"
0119594,"Crime, Drama, Mystery"
5789976,"Biography, Crime, Drama"
5990096,Comedy
10945288,Family
0095882,"Comedy, Crime"
8380776,"Action, Thriller"
0308152,"Adventure, Horror, Mystery"
12117860,"Comedy, Drama"
0337697,"Comedy, Family, Romance"
0133122,"Drama, Mystery, Sci-Fi"
1117385,"Crime, Thriller"
0023245,"Fantasy, Horror"
6636246,"Drama, Romance"
1974420,"Comedy, Drama, Romance"
0090021,Horror
7801780,"Horror, Sci-Fi"
10611608,"Animation, Action, Adventure"
5836706,"Comedy, Drama"
0102713,"Drama, Romance"
8593824,"Action, Crime, Drama"
3820450,Comedy
0283026,"Drama, Thriller"
7588790,Documentary
5664684,"Comedy, Drama, Musical"
12354406,"Action, Crime, Drama"
3007512,"Drama, History, War"
